	v1_a	v1_b	v2	v3	v4_l	v4_y	v4_u	v5_gg	v5_p	v5_g	v6_j	v6_ff	v6_aa	v6_e	v6_i	v6_x	v6_d	v6_c	v6_k	v6_cc	v6_r	v6_m	v6_q	v6_w	v7_n	v7_dd	v7_o	v7_z	v7_j	v7_ff	v7_bb	v7_h	v7_v	v8	v9_f	v9_t	v10_f	v10_t	v11	v12_t	v12_f	v13_p	v13_s	v13_g	v14	v15	desired1	desired2
0	0	1	30.83	0.0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1.25	0	1	0	1	1	0	1	0	0	1	202	0.0	0	1
1	1	0	58.67	4.46	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3.04	0	1	0	1	6	0	1	0	0	1	43	560.0	0	1
2	1	0	24.5	0.5	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1.5	0	1	1	0	0	0	1	0	0	1	280	824.0	0	1
3	0	1	27.83	1.54	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3.75	0	1	0	1	5	1	0	0	0	1	100	3.0	0	1
4	0	1	20.17	5.625	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1.71	0	1	1	0	0	0	1	0	1	0	120	0.0	0	1
5	0	1	32.08	4.0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2.5	0	1	1	0	0	1	0	0	0	1	360	0.0	0	1
6	0	1	33.17	1.04	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	6.5	0	1	1	0	0	1	0	0	0	1	164	31285.0	0	1
7	1	0	22.92	11.585	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.04	0	1	1	0	0	0	1	0	0	1	80	1349.0	0	1
8	0	1	54.42	0.5	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3.96	0	1	1	0	0	0	1	0	0	1	180	314.0	0	1
9	0	1	42.5	4.915	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3.165	0	1	1	0	0	1	0	0	0	1	52	1442.0	0	1
10	0	1	22.08	0.83	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2.165	1	0	1	0	0	1	0	0	0	1	128	0.0	0	1
11	0	1	29.92	1.835	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4.335	0	1	1	0	0	0	1	0	0	1	260	200.0	0	1
12	1	0	38.25	6.0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.0	0	1	1	0	0	1	0	0	0	1	0	0.0	0	1
13	0	1	48.08	6.04	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.04	1	0	1	0	0	0	1	0	0	1	0	2690.0	0	1
